stock,q2,q1
AMZN,37955,35714
AAPL,45408,52896
MMM,7810,7685
MSFT,23317,22090
JNJ,18839,17766
JPM,13262,12611
FB,9321,8032
XOM,60825,61090
GOOG,26010,24750
UNH,49797,48245
PFE,12896,12779
V,4645,4477
VZ,32203,31772
PG,16079,15605
WFC,9686,9702
CVX,32877,31524
T,39837,39365
BRK,57228,64582
INTC,14763,14796
CSCO,12133,11940
HD,28108,23887
MRK,9930,9435
KO,9702,9118
BA,20147,18422
MA,3053,2734
DIS,14238,13336
CMCS,21165,20463
PEP,15710,12049
C,6736,7263
WMT,121949,116526
MCD,6050,5676
ORCL,10893,9205
PM,19319,16556
ABBV,6944,6538
DD,7424,7743
#NFLX,65600,178222
MDT,7390,7916
AMGN,5574,5199
ABT,6637,6335
NVDA,2230,1937
ADBE,1772,1682
MO,6663,6083
IBM,19289,18154
UNP,5250,5132
HON,10078,9492
LLY,5824,5229
ACN,8867,8318
COST,31725,28860
CRM,2562,2387
PYPL,3857,3685
UTX,15280,13815
AVGO,4463,4190
NKE,8677,8432
TMO,6078,5853
GILD,5648,5088
TXN,3693,3402
SBUX,5661,5294
BKNG,3024,2419
BMY,5461,4972
#LIN,,
NEE,4404,3973
CVS,45685,44514
USB,2901,2797
LOW,19495,16860
QCOM,5371,5016
AXP,6777,6389
UPS,15750,15315
LMT,12685,11057
GE,18364,16812
CAT,10639,9130
COP,6781,7518
ANTM,22198,22320
GS,7099,7510
AMT,1662,1617
WBA,30149,30118
AET,15261,14976
TJX,8358,7784
CME,925,929
SLB,7462,6894
MDLZ,6112,6765
BIIB,3078,2811
ADP,2960,3299
PNC,1802,1724
BDX,3035,2969
DHR,4510,4206
DUK,5118,4913
MS,8752,8974
CB,7581,6710
SPG,1362,1345
CHTR,10357,10164
CSX,3102,2876
ISRG,756,674
EOG,4430,3948
SCHW,1077,1081
#INTU,842,2541
ESRX,25348,24655
FDX,15297,15728
OXY,4083,3763
CL,3826,3762
SYK,3012,2955
AGN,4007,3573
CI,8010,8103
RTN,6281,6000
BSX,2257,2161
GD,7675,7441
FOX,6748,7564
BLK,2824,2965
CELG,3256,2950
D,2813,3294
SO,5430,5772
NOC,3916,3834
DE,6833,7259
GM,36760,36099
NSC,2637,2575
HUM,13433,13550
CCI,1038,1016
ILMN,662,599
ZTS,1269,1231
SPGI,1509,1453
ICE,1494,1469
MET,12237,11617
BK,3120,3008
TGT,16429,16017
EXC,7623,8758
MU,6138,5566
MMC,3495,3503
VRTX,544,715
COF,1231,1061
MPC,18033,16134
PLD,766,629
EMR,4039,3574
PGR,6435,5970
ITW,3599,3471
PSX,24087,22894
CTSH,3670,3546
ATVI,1631,1725
ECL,3463,3162
AON,2368,2381
PRU,10024,8965
BBT,1220,1171
HCA,10733,10623
KMB,4554,4483
HPQ,13060,12385
ROST,3432,3306
AEP,3576,3933
AIG,8958,9061
F,39853,39146
DAL,10791,9148
WM,3677,3440
VLO,22254,21772
APD,2122,1980
FIS,2341,2255
SHW,3736,2761
AFL,4665,4638
TRV,6351,6183
March,5795,5561
STZ,2297,2115
KHC,6677,6364
AMAT,3744,3546
KMI,3368,3424
JCI,7683,7267
SYY,14421,13524
EL,2894,2857
SRE,2533,3031
ALL,8609,8552
ADI,1434,1148
FISV,1386,1394
ETN,5132,4848
BAX,2605,2475
EW,842,883
PSA,664,646
DG,5828,5610
RHT,723,677
EQIX,1066,950
ROP,1135,1086
WMB,1924,1988
LYB,8403,8430
STI,827,847
ORLY,2291,2156
ADSK,502,486
HAL,4957,4279
YUM,1448,1417
APC,2419,2601
CNC,11954,11724
VFC,2333,2556
LUV,5744,4883
ADM,14943,14988
STT,2235,2198
PEG,2133,2592
GIS,3807,3793
TEL,3367,3227
EA,1449,1527
APH,1666,1561
REGN,924,858
ALXN,912,869
EBAY,2328,2217
XEL,2645,2946
MCK,51051,48713
